PlayerID,FirstName,LastName,DateOfBirth,Nationality,Height,Weight,TeamID,PositionID
1,Steven,Jackson,9/17/1982,Germany,200,106,1,1
2,David,Thomas,12/12/1984,Brazil,181,89,1,1
3,Donald,Sanchez,1/1/1985,England,175,87,1,2
4,Gerald,Gilbert,7/19/1986,Spain,189,100,1,2
5,Craig,Randall,6/29/1986,Argentina,178,98,1,2
6,Joseph,Scott,2/8/1986,Germany,172,102,1,3
7,Larry,Wright,1/24/1990,Germany,207,106,1,3
8,Devon,Clark,11/19/1979,Germany,192,100,1,3
9,Kenneth,Moore,5/10/1983,Canada,192,76,1,4
10,Michael,Davis,3/21/1988,Germany,187,98,1,4
11,Zachary,Adams,12/28/1980,Canada,195,93,1,4
12,Hunter,Martinez,1/16/1985,Australia,192,90,1,5
13,Christine,Mitchell,11/29/1980,Australia,177,79,1,5
14,Michael,Bruce,4/7/1985,England,205,89,1,5
15,Traci,Schwartz,1/6/1991,Canada,201,108,1,6
16,Elizabeth,Johnson,1/17/1990,Canada,190,84,1,6
17,Aaron,Moreno,9/1/1983,Argentina,183,97,1,6
18,Leah,Barker,1/23/1996,Spain,174,108,2,1
19,Corey,Fischer,1/20/1979,France,199,86,2,1
20,Bailey,Elliott,1/28/1993,Italy,183,81,2,2
21,Ashley,Webb,6/30/1982,Spain,180,94,2,2
22,Ashley,Ferguson,3/25/1986,Germany,203,106,2,2
23,Priscilla,Osborn,4/29/1986,Germany,182,97,2,3
24,Tiffany,Brandt,5/5/1988,England,193,83,2,3
25,Krystal,Meza,11/12/1982,France,202,99,2,3
26,Wendy,Howell,11/19/1990,England,188,98,2,4
27,Amanda,Schultz,2/24/1986,Spain,198,106,2,4
28,Sandra,Davis,10/6/1979,Italy,209,105,2,4
29,Michelle,Evans,10/30/1981,Australia,195,104,2,5
30,Dustin,Howard,6/24/1981,USA,176,94,2,5
31,Leslie,Dorsey,8/9/1993,Canada,182,82,2,5
32,Joseph,Williams,11/23/1981,England,185,104,2,6
33,Michelle,Newman,12/31/1982,Canada,197,95,2,6
34,Raven,Jimenez,7/15/1994,Italy,176,104,2,6
35,Ronald,Newton,4/11/1994,USA,180,106,3,1
36,Jessica,Jenkins,8/26/1979,Germany,185,94,3,1
37,Michelle,Ruiz,2/18/1995,Germany,179,76,3,2
38,Andrew,Thompson,12/14/1993,Argentina,202,83,3,2
39,Jose,Zhang,2/13/1996,England,210,109,3,2
40,Adam,Arias,4/12/1983,Spain,181,79,3,3
41,Shawn,Guzman,11/15/1995,Italy,201,93,3,3
42,Hannah,Griffith,8/10/1994,Spain,183,85,3,3
43,Melissa,Friedman,12/4/1979,France,180,89,3,4
