PlayerID,FirstName,LastName,DateofBirth,Nationality,Height,Weight
1,Steven,Jackson,9/17/1982,Germany,200,106
2,David,Thomas,12/12/1984,Brazil,181,89
3,Donald,Sanchez,1/1/1985,England,175,87
4,Gerald,Gilbert,7/19/1986,Spain,189,100
5,Craig,Randall,6/29/1986,Argentina,178,98
6,Joseph,Scott,2/8/1986,Germany,172,102
7,Larry,Wright,1/24/1990,Germany,207,106
8,Devon,Clark,11/19/1979,Germany,192,100
9,Kenneth,Moore,5/10/1983,Canada,192,76
10,Michael,Davis,3/21/1988,Germany,187,98
11,Zachary,Adams,12/28/1980,Canada,195,93
12,Hunter,Martinez,1/16/1985,Australia,192,90
13,Christine,Mitchell,11/29/1980,Australia,177,79
14,Michael,Bruce,4/7/1985,England,205,89
15,Traci,Schwartz,1/6/1991,Canada,201,108
16,Elizabeth,Johnson,1/17/1990,Canada,190,84
17,Aaron,Moreno,9/1/1983,Argentina,183,97
18,Leah,Barker,1/23/1996,Spain,174,108
19,Corey,Fischer,1/20/1979,France,199,86
20,Bailey,Elliott,1/28/1993,Italy,183,81
21,Ashley,Webb,6/30/1982,Spain,180,94
22,Ashley,Ferguson,3/25/1986,Germany,203,106
23,Priscilla,Osborn,4/29/1986,Germany,182,97
24,Tiffany,Brandt,5/5/1988,England,193,83
25,Krystal,Meza,11/12/1982,France,202,99
26,Wendy,Howell,11/19/1990,England,188,98
27,Amanda,Schultz,2/24/1986,Spain,198,106
28,Sandra,Davis,10/6/1979,Italy,209,105
29,Michelle,Evans,10/30/1981,Australia,195,104
30,Dustin,Howard,6/24/1981,USA,176,94
31,Leslie,Dorsey,8/9/1993,Canada,182,82
32,Joseph,Williams,11/23/1981,England,185,104
33,Michelle,Newman,12/31/1982,Canada,197,95
34,Raven,Jimenez,7/15/1994,Italy,176,104
35,Ronald,Newton,4/11/1994,USA,180,106
36,Jessica,Jenkins,8/26/1979,Germany,185,94
37,Michelle,Ruiz,2/18/1995,Germany,179,76
38,Andrew,Thompson,12/14/1993,Argentina,202,83
39,Jose,Zhang,2/13/1996,England,210,109
40,Adam,Arias,4/12/1983,Spain,181,79
41,Shawn,Guzman,11/15/1995,Italy,201,93
42,Hannah,Griffith,8/10/1994,Spain,183,85
43,Melissa,Friedman,12/4/1979,France,180,89
44,Allison,Perkins,1/24/1995,Canada,179,84
45,Anne,Brown,8/6/1985,Italy,174,77
46,Mariah,Thomas,11/10/1994,Italy,172,75
47,Jonathan,Hall,5/15/1982,Brazil,209,107
48,Hannah,Baker,2/19/1980,Australia,181,87
49,Janice,Andrews,10/27/1980,USA,181,101
50,Cynthia,Cole,9/9/1992,Brazil,194,87
51,Joshua,Griffin,7/30/1986,USA,179,78
52,Erika,Walters,8/18/1992,USA,196,97
