PlayerID,FirstName,LastName,DateofBirth,Nationality,Height,Weight,TeamID,PositionID
200,Ronald,Lam,3/22/1994,Spain,184,98,1,1
930,Kurt,Medina,12/20/1993,Australia,176,92,1,1
694,Austin,Cortez,4/12/1985,Canada,184,109,1,2
799,Bobby,Johnson,8/21/1989,Argentina,202,100,1,2
875,Jesse,Turner,5/7/1984,France,200,85,1,2
579,Jason,Terry,2/16/1990,Australia,192,110,1,3
825,Tiffany,Koch,7/8/1980,Canada,188,88,1,3
925,Elizabeth,Underwood,9/6/1983,Canada,186,88,1,3
491,Melissa,Simon,8/16/1983,England,173,101,1,4
175,Anita,Mitchell,7/25/1990,Australia,192,104,1,4
210,Robert,Vance,4/1/1992,Australia,198,90,1,4
282,Mark,Sanders,3/6/1989,Canada,189,90,1,5
60,Denise,Shields,2/25/1993,Italy,178,81,1,5
465,Hannah,Edwards,3/7/1984,Germany,189,100,1,5
849,William,Gray,1/15/1982,Canada,187,97,1,6
77,Lisa,Johnson,11/18/1988,France,209,78,1,6
412,Eric,Diaz,11/22/1980,Canada,209,91,1,6
216,Shannon,Bryant,10/19/1983,Argentina,195,102,2,1
108,Donald,Castillo,5/20/1994,Canada,206,93,2,1
738,Michelle,Foster,11/14/1996,Argentina,201,92,2,2
406,Melissa,Hoover,11/15/1981,Germany,182,99,2,2
559,Elizabeth,Brewer,5/1/1989,Germany,210,93,2,2
364,Katherine,Bryan,12/15/1988,Germany,182,105,2,3
211,Joel,Hoffman,8/30/1986,Spain,180,91,2,3
24,Tiffany,Brandt,5/5/1988,England,193,83,2,3
605,Laura,Meyer,8/5/1982,Germany,179,83,2,4
526,Katherine,Riley,10/9/1994,Italy,184,78,2,4
458,Mark,Molina,8/23/1984,Brazil,181,84,2,4
619,Dylan,Day,3/2/1982,France,173,95,2,5
31,Leslie,Dorsey,8/9/1993,Canada,182,82,2,5
851,Roberta,Ward,5/25/1992,Italy,181,81,2,5
758,Karen,Mata,4/7/1994,England,174,82,2,6
712,Paula,Powell,8/26/1993,Italy,198,78,2,6
232,Antonio,Simpson,3/29/1995,Spain,204,96,2,6
68,Alexis,Lee,1/27/1979,Spain,176,97,3,1
137,Laura,Allen,8/14/1987,Australia,181,100,3,1
295,Charles,Fields,8/8/1980,Argentina,177,93,3,2
140,Christine,Marks,3/30/1980,France,179,105,3,2
621,Henry,Thompson,1/21/1992,Argentina,192,94,3,2
717,Brittany,Franklin,4/19/1981,Canada,188,108,3,3
